name,version,category,releaseDate,rootPackage
ADResult,1.0.1,Advertising,0,jp.adresult.android
AMoAd,3.0.11,Advertising,0,com.amoad
AdColony,1.9.11,Advertising,1354662000000,com.jirbo.adcolony
AdColony,1.9.12,Advertising,1357772400000,com.jirbo.adcolony
AdColony,1.9.13,Advertising,1368828000000,com.jirbo.adcolony
AdColony,2.0.3,Advertising,1379973600000,com.jirbo.adcolony
AdColony,2.0.4,Advertising,1383606000000,com.jirbo.adcolony
AdColony,2.0.5,Advertising,1386543600000,com.jirbo.adcolony
AdColony,2.0.6,Advertising,1389913200000,com.jirbo.adcolony
AdColony,2.0.7,Advertising,1400796000000,com.jirbo.adcolony
AdColony,2.1.0,Advertising,1403906400000,com.jirbo.adcolony
AdColony,2.1.1,Advertising,1406757600000,com.jirbo.adcolony
AdColony,2.2.0,Advertising,1419289200000,N/A
AdColony,2.2.2,Advertising,1433109600000,N/A
AdColony,2.3.0,Advertising,1444341600000,N/A
AdColony,2.3.1,Advertising,1454626800000,N/A
AdColony,2.3.2,Advertising,1455058800000,N/A
AdColony,2.3.3,Advertising,1457910000000,N/A
AdColony,2.3.4,Advertising,1458601200000,N/A
AdColony,2.3.5,Advertising,1460671200000,N/A
AdColony,2.3.6,Advertising,1466978400000,N/A
AdFalcon,2.1.4,Advertising,1399240800000,com.noqoush.adfalcon.android.sdk
Adrally,1.37.4,Advertising,1419289200000,com.fusepowered
Adrally,1.37.5,Advertising,1421103600000,com.fusepowered
Adrally,1.38.0,Advertising,1423177200000,com.fusepowered
Adrally,1.38.4,Advertising,1427238000000,com.fusepowered
Adrally,1.38.5,Advertising,1427410800000,com.fusepowered
Adrally,2.0.2,Advertising,1428530400000,com.fusepowered
Adrally,2.0.5,Advertising,1431295200000,com.fusepowered
Adrally,2.1.0,Advertising,1432764000000,com.fusepowered
Adrally,2.1.3,Advertising,1433973600000,com.fusepowered
Adrally,2.2.0,Advertising,1438898400000,com.fusepowered
Adrally,2.4.2,Advertising,1450652400000,N/A
Airpush (Bundle1),8.0.0,Advertising,0,com.gwrbcxcxsm.yqszheqrll240988
Airpush (Bundle1),8.11,Advertising,1453071600000,com.qvjclgjf.dtmwxgfp257390
Airpush (Bundle1),9.0,Advertising,1475100000000,com.qvjclgjf.dtmwxgfp257390
Airpush (Standard),8.0.0,Advertising,0,com.gwrbcxcxsm.yqszheqrll240988
Airpush (Standard),8.11,Advertising,1453071600000,com.qvjclgjf.dtmwxgfp257390
Airpush (Standard),9.01,Advertising,1475100000000,com.qvjclgjf.dtmwxgfp257390
Airpush (Universal),8.0.0,Advertising,0,com.gwrbcxcxsm.yqszheqrll240988
Airpush (Universal),8.13,Advertising,1453071600000,com.qvjclgjf.dtmwxgfp257390
Airpush (Universal),9.03,Advertising,1475100000000,com.qvjclgjf.dtmwxgfp257390
Amazon Ads,5.1.153,Advertising,1382914800000,com.amazon.device.ads
Amazon Ads,5.5.102,Advertising,1427151600000,com.amazon.device.ads
Amazon Ads,5.6.20,Advertising,1433887200000,com.amazon.device.ads
Amazon Ads,5.7.1.1,Advertising,1458860400000,com.amazon.device.ads
Amazon Ads,5.7.2,Advertising,1462312800000,com.amazon.device.ads
AppBrain,10.4,Advertising,1418770800000,com.appbrain
AppBrain,10.41,Advertising,1419289200000,com.appbrain
AppBrain,10.51,Advertising,1427065200000,com.appbrain
AppBrain,11.01,Advertising,1437429600000,com.appbrain
AppBrain,11.02,Advertising,1437516000000,com.appbrain
AppBrain,11.10,Advertising,1443650400000,com.appbrain
AppBrain,11.20,Advertising,1449788400000,com.appbrain
AppBrain,12.00,Advertising,1458774000000,com.appbrain
AppFlood,2.21,Advertising,0,com.appflood
Appsfire,2.0.1,Advertising,1408917600000,N/A
Appsfire,2.1.0,Advertising,1412719200000,N/A
Appsfire,2.1.1,Advertising,1413756000000,N/A
Appsfire,2.1.2,Advertising,1414623600000,N/A
Appsfire,2.1.3,Advertising,1415142000000,N/A
Appsfire,2.1.4,Advertising,1415314800000,N/A
Appsfire,2.2.0,Advertising,1426028400000,N/A
Appsfire,2.3.0,Advertising,1429048800000,N/A
Brightroll,,Advertising,1395097200000,com.brightroll.androidsdk
Chartboost,4.1.2,Advertising,1408485600000,com.chartboost.sdk
Chartboost,5.5.3,Advertising,1438725600000,com.chartboost.sdk
Facebook-Audience,3.14,Advertising,1398808800000,com.facebook.ads
Facebook-Audience,3.14.1,Advertising,1399845600000,com.facebook.ads
Facebook-Audience,3.15.0,Advertising,1402524000000,com.facebook.ads
Facebook-Audience,3.16,Advertising,1405634400000,com.facebook.ads
Facebook-Audience,3.17.0,Advertising,1407362400000,com.facebook.ads
Facebook-Audience,3.17.1,Advertising,1407362400000,com.facebook.ads
Facebook-Audience,3.17.2,Advertising,1408572000000,com.facebook.ads
Facebook-Audience,3.18,Advertising,1409695200000,com.facebook.ads
Facebook-Audience,3.18.1,Advertising,1411596000000,com.facebook.ads
Facebook-Audience,3.19.0,Advertising,1412200800000,com.facebook.ads
